                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    110,                 1.2556,                0.92928,                 1.3419,                0.87995,                   0.85,                0.90067,                 0.4622,                 1.9558,                 1.1521,                 1.6558,              0.0015723,              0.0015723,              0.0015723
                    111,                 1.2259,                0.88821,                 1.3137,                 0.9056,                0.79941,                0.86011,                0.42686,                 1.8678,                 1.3265,                 1.6815,              0.0015684,              0.0015684,              0.0015684
                    112,                 1.2538,                0.88429,                 1.3383,                0.88003,                0.86667,                0.89609,                0.41892,                 1.8954,                 1.0599,                 1.6884,              0.0015644,              0.0015644,              0.0015644
                    113,                 1.2195,                0.88131,                 1.3272,                0.92161,                0.73333,                0.87132,                0.41354,                 1.9412,                 1.5177,                 1.8722,              0.0015604,              0.0015604,              0.0015604
                    114,                 1.2179,                0.89045,                 1.3224,                0.90823,                0.82482,                0.89585,                0.40647,                 1.8479,                 1.0602,                 1.7617,              0.0015565,              0.0015565,              0.0015565
                    115,                 1.2526,                 0.8761,                 1.3399,                0.93838,                0.83333,                 0.8796,                0.40801,                  2.066,                    1.1,                 1.8191,              0.0015525,              0.0015525,              0.0015525
                    116,                 1.2373,                0.87479,                 1.3399,                0.86926,                0.81667,                0.87365,                0.41196,                 1.9952,                  1.037,                 1.7351,              0.0015486,              0.0015486,              0.0015486
                    117,                 1.3047,                0.92155,                 1.3878,                0.89631,                    0.9,                0.91747,                0.43241,                 2.1799,                 1.0064,                 1.8312,              0.0015446,              0.0015446,              0.0015446
                    118,                 1.2463,                0.88868,                 1.3311,                0.83576,                   0.85,                0.86183,                0.41757,                 2.0981,                0.98085,                 1.9162,              0.0015406,              0.0015406,              0.0015406
                    119,                 1.2148,                0.84843,                 1.3194,                0.91587,                0.76667,                0.84328,                0.38423,                 2.0143,                 1.0517,                 1.7414,              0.0015367,              0.0015367,              0.0015367
                    120,                 1.2019,                0.88312,                 1.3081,                0.81687,                0.81667,                0.85556,                0.40279,                 1.8821,                 1.0606,                 1.6273,              0.0015327,              0.0015327,              0.0015327
                    121,                  1.168,                 0.8605,                 1.3035,                0.85165,                0.86667,                0.87198,                0.43232,                 1.9273,                 1.0149,                 1.6206,              0.0015288,              0.0015288,              0.0015288
                    122,                 1.1478,                0.83089,                 1.2784,                0.90683,                0.83333,                0.88775,                0.43052,                  2.186,                0.95554,                 1.8728,              0.0015248,              0.0015248,              0.0015248
                    123,                 1.1576,                0.83959,                  1.291,                  0.871,                0.86667,                0.86548,                0.41561,                 1.9467,                 1.0712,                 1.7009,              0.0015208,              0.0015208,              0.0015208
                    124,                 1.1806,                0.84824,                 1.2888,                 0.8991,                    0.8,                0.86029,                  0.432,                 1.8905,                 1.2971,                 1.6801,              0.0015169,              0.0015169,              0.0015169
                    125,                 1.1636,                0.83624,                 1.2908,                0.89371,                0.84094,                 0.8924,                0.45128,                 1.8409,                 1.0592,                 1.6324,              0.0015129,              0.0015129,              0.0015129
                    126,                  1.179,                0.84066,                 1.3044,                0.86492,                0.85377,                0.88824,                0.43478,                 1.8934,                 1.2889,                 1.6599,               0.001509,               0.001509,               0.001509
                    127,                 1.1934,                0.84239,                 1.3096,                0.92169,                    0.8,                0.89636,                0.45233,                 1.7144,                0.96025,                 1.5773,               0.001505,               0.001505,               0.001505
                    128,                 1.1411,                0.79994,                 1.2686,                0.87826,                0.88333,                0.88399,                0.44671,                 1.6886,                 0.9992,                 1.5497,               0.001501,               0.001501,               0.001501
                    129,                 1.1614,                0.85536,                 1.2988,                0.95829,                0.86667,                0.91412,                0.47025,                 1.6735,                0.88183,                 1.5529,              0.0014971,              0.0014971,              0.0014971
                    130,                 1.1818,                0.87543,                  1.294,                0.93045,                0.83333,                0.89682,                  0.436,                 1.8909,                0.98316,                 1.6449,              0.0014931,              0.0014931,              0.0014931
                    131,                 1.2081,                0.89566,                 1.3219,                0.94277,                0.82381,                0.87968,                0.44631,                 2.0113,                 0.9738,                 1.7309,              0.0014892,              0.0014892,              0.0014892
