                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    110,                 1.0125,                0.72468,                 1.3653,                0.96522,                0.98969,                0.98468,                0.67815,                 1.1509,                0.67878,                 1.4338,              0.0012872,              0.0012872,              0.0012872
                    111,                 1.0528,                0.74777,                 1.3689,                0.97914,                0.96767,                0.98443,                 0.6388,                 1.3091,                0.61703,                 1.5679,              0.0012806,              0.0012806,              0.0012806
                    112,                 1.0121,                0.72106,                 1.3505,                0.96993,                0.93814,                0.97883,                0.65516,                 1.1937,                0.63472,                 1.4909,               0.001274,               0.001274,               0.001274
                    113,                 1.0539,                0.73797,                  1.378,                0.95547,                0.94845,                0.98878,                0.65832,                 1.1905,                0.60914,                 1.4824,              0.0012674,              0.0012674,              0.0012674
                    114,                 1.0307,                 0.7419,                 1.3927,                0.97905,                0.96379,                0.98362,                0.67377,                  1.157,                0.65171,                 1.4809,              0.0012608,              0.0012608,              0.0012608
                    115,                 1.0175,                0.70913,                 1.3644,                 0.9827,                0.97938,                0.98128,                0.67297,                 1.1382,                0.57969,                 1.4341,              0.0012542,              0.0012542,              0.0012542
                    116,                 1.0061,                0.68468,                 1.3495,                0.95925,                0.97084,                0.98007,                0.66283,                 1.1537,                0.58887,                 1.4556,              0.0012476,              0.0012476,              0.0012476
                    117,                 1.0551,                0.73848,                 1.3766,                 0.9746,                0.92784,                0.96816,                0.60311,                 1.3734,                0.66982,                 1.6885,               0.001241,               0.001241,               0.001241
                    118,                 1.0225,                0.70324,                 1.3777,                0.94181,                0.93814,                0.97274,                0.63353,                 1.2291,                0.62995,                  1.503,              0.0012344,              0.0012344,              0.0012344
                    119,                0.99608,                0.72452,                 1.3569,                0.98923,                0.94711,                 0.9807,                 0.6604,                 1.1639,                0.57186,                 1.4486,              0.0012278,              0.0012278,              0.0012278
                    120,                  1.025,                 0.7311,                 1.3688,                0.97706,                0.95876,                0.97617,                0.64498,                 1.1908,                 0.5967,                 1.4881,              0.0012212,              0.0012212,              0.0012212
                    121,                 1.0106,                0.71875,                 1.3504,                 0.9789,                0.95677,                0.97845,                0.65708,                  1.163,                0.61378,                 1.4605,              0.0012146,              0.0012146,              0.0012146
                    122,                 1.0324,                0.70785,                 1.3458,                0.97505,                0.97938,                0.99061,                 0.6751,                 1.1712,                 0.5551,                 1.4757,               0.001208,               0.001208,               0.001208
                    123,                0.98796,                0.69242,                 1.3404,                0.98747,                0.96907,                 0.9915,                0.67475,                 1.1611,                0.54236,                 1.4542,              0.0012014,              0.0012014,              0.0012014
                    124,                 1.0158,                0.70909,                  1.347,                0.97943,                0.98181,                 0.9916,                0.65801,                 1.1881,                0.59908,                 1.4526,              0.0011948,              0.0011948,              0.0011948
                    125,                 1.0022,                0.66197,                 1.3459,                0.97797,                0.98969,                0.98615,                0.67929,                 1.1187,                0.56246,                 1.4364,              0.0011882,              0.0011882,              0.0011882
                    126,                 1.0132,                0.70747,                 1.3537,                0.98688,                0.96907,                0.97659,                0.65569,                 1.1999,                0.61482,                 1.5062,              0.0011816,              0.0011816,              0.0011816
                    127,                 1.0351,                 0.7114,                 1.3733,                0.96869,                0.95704,                 0.9826,                0.65366,                 1.2242,                0.58559,                 1.4615,               0.001175,               0.001175,               0.001175
                    128,                0.96704,                0.67616,                 1.3144,                0.97166,                0.95876,                0.98215,                0.65864,                  1.224,                 0.5912,                  1.536,              0.0011684,              0.0011684,              0.0011684
                    129,                0.95438,                0.65332,                 1.3174,                0.96833,                0.94578,                0.96297,                 0.6416,                 1.2171,                0.61794,                 1.4925,              0.0011618,              0.0011618,              0.0011618
                    130,                0.98568,                0.71413,                 1.3444,                 0.9571,                0.97938,                0.97876,                0.65994,                 1.1723,                0.60622,                 1.4782,              0.0011552,              0.0011552,              0.0011552
                    131,                 1.0138,                0.70699,                 1.3451,                0.97853,                0.98969,                 0.9912,                0.68079,                 1.2158,                0.56308,                 1.5122,              0.0011486,              0.0011486,              0.0011486
                    132,                 1.0348,                0.69813,                 1.3292,                 0.9856,                0.97938,                0.99182,                  0.672,                 1.1667,                 0.5671,                 1.4411,               0.001142,               0.001142,               0.001142
                    133,                0.96772,                 0.6633,                 1.3107,                0.96933,                0.97743,                0.98923,                0.67861,                 1.1272,                  0.563,                 1.3848,              0.0011354,              0.0011354,              0.0011354
                    134,                0.96563,                0.66278,                  1.313,                0.97841,                0.95876,                0.98425,                0.69045,                 1.1256,                0.56112,                 1.4288,              0.0011288,              0.0011288,              0.0011288
                    135,                0.97086,                0.67829,                 1.3279,                0.98921,                0.94525,                0.98582,                0.67566,                 1.1333,                0.58699,                 1.4448,              0.0011222,              0.0011222,              0.0011222
                    136,                 0.9523,                0.69869,                 1.3192,                0.96879,                0.95992,                0.98057,                0.67577,                 1.1365,                0.59932,                 1.4289,              0.0011156,              0.0011156,              0.0011156
                    137,                0.94817,                0.66693,                 1.3099,                 0.9894,                 0.9625,                0.98878,                 0.6876,                 1.1311,                0.55318,                 1.4488,               0.001109,               0.001109,               0.001109
                    138,                0.96982,                0.68542,                 1.3287,                0.97857,                0.94133,                0.97259,                0.66983,                 1.1217,                0.61999,                 1.3962,              0.0011024,              0.0011024,              0.0011024
                    139,                0.96366,                 0.6723,                 1.2944,                0.97508,                0.94845,                 0.9854,                0.66963,                  1.155,                0.59522,                 1.4538,              0.0010958,              0.0010958,              0.0010958
                    140,                0.95332,                0.66938,                 1.3102,                0.97956,                0.98811,                0.98931,                0.66651,                 1.1908,                0.56249,                 1.4887,              0.0010892,              0.0010892,              0.0010892
                    141,                0.93687,                0.67445,                 1.2943,                0.97564,                0.96907,                0.99067,                0.67915,                  1.167,                0.53038,                 1.4889,              0.0010826,              0.0010826,              0.0010826
                    142,                0.98821,                0.68493,                 1.3316,                0.96194,                0.95876,                0.98795,                 0.6685,                 1.1538,                0.56015,                 1.4871,               0.001076,               0.001076,               0.001076
                    143,                0.97112,                 0.6774,                 1.3121,                0.96333,                0.96907,                0.98718,                0.67701,                  1.193,                0.57895,                 1.5007,              0.0010694,              0.0010694,              0.0010694
                    144,                0.95585,                0.66748,                 1.3009,                0.95021,                0.91753,                 0.9614,                0.60914,                 1.2968,                0.65336,                 1.6261,              0.0010628,              0.0010628,              0.0010628
                    145,                0.94952,                0.63299,                 1.2981,                0.96934,                0.97797,                0.98974,                0.69492,                 1.1231,                 0.5348,                 1.4365,              0.0010562,              0.0010562,              0.0010562
                    146,                0.93415,                0.63258,                   1.28,                0.96805,                0.97938,                0.98644,                0.68984,                 1.1252,                 0.5531,                 1.4618,              0.0010496,              0.0010496,              0.0010496
                    147,                0.94116,                0.64279,                 1.2862,                 0.9758,                0.94845,                0.97436,                0.64265,                 1.2962,                0.60367,                 1.5197,               0.001043,               0.001043,               0.001043
                    148,                0.92117,                0.61024,                 1.2819,                0.96854,                0.95205,                 0.9772,                 0.6707,                 1.1183,                0.59136,                 1.4259,              0.0010364,              0.0010364,              0.0010364
                    149,                0.96247,                0.66458,                 1.3302,                0.97913,                0.96752,                0.97665,                0.66501,                  1.138,                0.59467,                 1.4603,              0.0010298,              0.0010298,              0.0010298
                    150,                0.90565,                0.61173,                 1.2861,                0.98866,                0.95876,                0.98844,                0.69559,                  1.096,                0.52862,                 1.4067,              0.0010232,              0.0010232,              0.0010232
                    151,                0.93738,                0.62616,                 1.3039,                0.97735,                0.98969,                 0.9922,                0.68329,                 1.1476,                0.52886,                  1.438,              0.0010166,              0.0010166,              0.0010166
                    152,                0.90814,                0.60938,                 1.2605,                0.97814,                0.96907,                 0.9818,                0.68659,                 1.1105,                0.53487,                 1.4372,                0.00101,                0.00101,                0.00101
                    153,                0.90367,                0.61614,                 1.2693,                0.98933,                0.95591,                0.98508,                0.68025,                 1.1588,                0.55769,                 1.4819,              0.0010034,              0.0010034,              0.0010034
